,Player,Value,Salary
181,Aaron Holiday,3.84,3300
182,Reggie Jackson,3.82,3500
183,Luke Kennard,3.77,4100
184,Ish Smith,3.76,4000
185,Aron Baynes,3.75,3900
186,Andre Iguodala,3.73,3200
187,Kevon Looney,3.73,3100
188,Jimmy Butler,3.72,7300
189,Daniel Theis,3.72,4300
190,Grant Williams,3.68,3500
191,D.J. Augustin,3.67,3300
192,Dennis Smith Jr.,3.67,3000
193,Furkan Korkmaz,3.63,3400
194,Kevin Love,3.62,6000
195,Robin Lopez,3.6,3600
196,Cody Martin,3.58,3000
197,Draymond Green,3.56,5200
198,JJ Redick,3.53,3200
199,Aleksej Pokusevski,3.53,3100
200,Bojan Bogdanovic,3.51,5900
201,Kent Bazemore,3.5,3200
202,Dwight Howard,3.48,4300
203,Juan Toscano-Anderson,3.48,3400
204,Sekou Doumbouya,3.48,3400
205,Tyrese Maxey,3.46,3300
206,Bryn Forbes,3.46,3200
207,Michael Carter-Williams,3.45,4600
208,Chandler Hutchison,3.44,3000
209,Jahlil Okafor,3.4,3200
210,Chuma Okeke,3.38,3000
211,Jordan Nwora,3.37,3000
212,Killian Hayes,3.35,3300
213,Isaac Okoro,3.31,4000
214,Semi Ojeleye,3.3,3200
215,Solomon Hill,3.29,3000
216,Jaxson Hayes,3.27,3300
217,Glenn Robinson III,3.27,3000
218,Jordan Poole,3.22,3000
219,Terence Davis,3.18,3200
220,Bruno Fernando,3.18,3000
221,Alex Len,3.1,3100
222,Troy Brown Jr.,3.09,3100
223,Kendrick Nunn,3.08,3300
224,Stanley Johnson,3.08,3000
225,Kyle Guy,3.08,3000
226,Danilo Gallinari,3.07,4600
227,Jalen McDaniels,3.0,3200
228,Max Strus,3.0,3000
229,Dante Exum,2.98,4100
230,D.J. Wilson,2.98,3000
231,Mike Scott,2.95,3000
232,Frank Ntilikina,2.92,3000
233,DeMarcus Cousins,2.91,4300
234,Javonte Green,2.79,3000
235,Gary Clark,2.73,3200
236,Jerome Robinson,2.73,3200
237,Moritz Wagner,2.67,3000
238,Brandon Goodwin,2.65,3000
239,Tremont Waters,2.64,3100
240,Nicolo Melli,2.62,3000
241,Dakota Mathias,2.56,3000
242,Patrick Patterson,2.54,3000
243,Meyers Leonard,2.54,3000
244,Moses Brown,2.54,3000
245,Thon Maker,2.54,3000
246,Yuta Watanabe,2.54,3000
247,Mychal Mulder,2.5,3100
248,Willy Hernangomez,2.5,3000
249,Chimezie Metu,2.5,3000
250,Tacko Fall,2.42,3000
251,Sam Merrill,2.42,3000
252,Frank Kaminsky,2.42,3000
253,Adam Mokoka,2.42,3000
254,Damyean Dotson,2.41,4200
255,Robert Woodard II,2.37,3000
256,Nathan Knight,2.33,3000
257,Kenrich Williams,2.33,3000
258,Dylan Windler,2.33,3000
259,Thanasis Antetokounmpo,2.25,3000
260,Cristiano Felicio,2.25,3000
261,Matisse Thybulle,2.23,3200
262,Jalen Smith,2.21,3000
263,Langston Galloway,2.19,3000
264,Daniel Oturu,2.1,3000
265,Terance Mann,2.08,3000
266,Carsen Edwards,1.97,3000
267,Aaron Nesmith,1.97,3000
268,Jevon Carter,1.93,3000
269,Nico Mannion,1.83,3000
270,Trent Forrest,1.83,3000
271,Mo Bamba,1.83,3000
272,Lamar Stevens,1.83,3000
273,Vincent Poirier,1.79,3000
274,KZ Okpala,1.78,3000
275,Isaiah Joe,1.75,3000
276,Devon Dotson,1.75,3000
277,Dean Wade,1.72,3000
278,Malik Monk,1.67,3000
279,Bruno Caboclo,1.64,3000
280,Vernon Carey Jr.,1.58,3000
281,Torrey Craig,1.58,3000
282,Elijah Hughes,1.58,3000
283,Luke Kornet,1.58,3000
284,Sindarius Thornwell,1.54,3000
285,Jordan Bone,1.54,3000
286,Brodric Thomas,1.47,3000
287,Shaquille Harrison,1.47,3000
288,Udoka Azubuike,1.43,3200
289,Jakarr Sampson,1.42,3000
290,Jalen Lecque,1.37,3000
291,Chris Silva,1.31,3000
292,Garrison Mathews,1.29,3000
293,Kira Lewis Jr.,1.25,3000
294,Mfiondu Kabengele,1.23,3000
295,Josh Hall,1.22,3000
296,Damian Jones,1.21,3000
297,Miye Oni,1.19,3000
298,Jahmi'us Ramsey,1.13,3000
299,Nick Richards,1.11,3000
300,Amir Coffey,1.11,3000
301,Cassius Stanley,1.04,3000
302,Darius Miller,1.0,3000
303,Kelan Martin,0.97,3000
304,Anthony Gill,0.92,3000
305,Justin James,0.92,3000
306,DeAndre' Bembry,0.86,3000
307,Karim Mane,0.83,3000
308,Marques Bolden,0.79,3000
309,Ignas Brazdeikis,0.75,3000
310,Paul Watson,0.75,3000
311,Georges Niang,0.71,3100
312,Paul Reed,0.67,3000
313,Moe Harkless,0.57,3000
314,Ty-Shon Alexander,0.46,3000
315,Juwan Morgan,0.42,3000
316,Malachi Flynn,0.39,3000
317,Terrance Ferguson,0.31,3000
318,Jared Harper,0.17,3000
319,Theo Pinson,0.1,3000
320,Anzejs Pasecniks,0.08,3000
321,Kemba Walker,0.0,6100
322,Marcus Morris Sr.,0.0,5400
323,Trevor Ariza,0.0,4600
324,Kevin Porter Jr.,0.0,4400
325,Jeremy Lamb,0.0,4200
326,Kris Dunn,0.0,4000
327,Ben McLemore,0.0,3300
328,Tony Snell,0.0,3100
329,James Ennis III,0.0,3100
330,Matthew Dellavedova,0.0,3100
331,Skylar Mays,0.0,3000
332,Onyeka Okongwu,0.0,3000
333,Grant Riller,0.0,3000
334,Nate Darling,0.0,3000
335,Klay Thompson,0.0,3000
336,Alen Smailagic,0.0,3000
337,Jay Scrubb,0.0,3000
338,Edmond Sumner,0.0,3000
339,Brian Bowen II,0.0,3000
340,Goga Bitadze,0.0,3000
341,Chris Clemons,0.0,3000
342,Mason Jones,0.0,3000
343,KJ Martin Jr.,0.0,3000
344,Udonis Haslem,0.0,3000
345,Romeo Langford,0.0,3000
346,Jaylen Adams,0.0,3000
347,Mamadi Diakite,0.0,3000
348,Rodney McGruder,0.0,3000
349,Frank Jackson,0.0,3000
350,Saben Lee,0.0,3000
351,Deividas Sirvydis,0.0,3000
352,Will Magnay,0.0,3000
353,Wenyen Gabriel,0.0,3000
354,Naji Marshall,0.0,3000
355,Ty Jerome,0.0,3000
356,Omari Spellman,0.0,3000
357,Jarrell Brantley,0.0,3000
358,Al-Farouq Aminu,0.0,3000
359,Jonathan Isaac,0.0,3000
360,Cassius Winston,0.0,3000
361,Abdel Nader,0.0,3000
362,Patrick McCaw,0.0,3000
363,Jalen Harris,0.0,3000
364,Jabari Parker,0.0,3000
365,DaQuan Jeffries,0.0,3000
366,E'Twaun Moore,-0.33,3000
